订购月份,商品,订购人数,订购件数,订购金额,客件数,客单价
01,其他,188,376,69999.7,2.0,372.0
01,宝酝,1385,2306,1217568.0,1.7,879.0
01,小红瓶,126,145,177440.0,1.2,1408.0
01,柯诺苏,12,21,3884.0,1.8,324.0
01,泸州老窖,21,30,8590.0,1.4,409.0
01,福将,52,76,4980.0,1.5,96.0
01,酒鬼,7,13,556.0,1.9,79.0
02,其他,47,62,12190.3,1.3,259.0
02,宝酝,596,1036,584496.0,1.7,981.0
02,小红瓶,375,384,535788.0,1.0,1429.0
02,柯诺苏,4,28,1632.0,7.0,408.0
02,泸州老窖,4,6,858.0,1.5,214.0
02,福将,13,19,1494.0,1.5,115.0
02,酒鬼,2,3,0.0,1.5,0.0
03,其他,34,53,10178.9,1.6,299.0
03,宝酝,433,578,207702.0,1.3,480.0
03,小红瓶,146,155,233220.0,1.1,1597.0
03,柯诺苏,103,148,5191.0,1.4,50.0
03,泸州老窖,2,2,396.0,1.0,198.0
03,福将,8,11,1674.0,1.4,209.0
03,酒鬼,1,2,0.0,2.0,0.0
